title,artist,album,dance,genre,mood,timbre,instrumental,loudness,bpm
['Wie Das Wohl Wär'],['Redensart'],['Am Ende War Nicht Alles Schlecht'],"{'danceable': 0.682123363018, 'not_danceable': 0.317876636982}","{'cla': 0.00135583372321, 'dan': 0.00457355938852, 'hip': 0.0132544804364, 'jaz': 0.0054430947639, 'pop': 0.0810865908861, 'rhy': 0.892392754555, 'roc': 0.000869964365847, 'spe': 0.0010237491224}","{'Cluster1': 0.0349248237908, 'Cluster2': 0.183337152004, 'Cluster3': 0.435069084167, 'Cluster4': 0.329577922821, 'Cluster5': 0.0170909967273}","{'bright': 0.99999910593, 'dark': 8.84819826297e-07}","{'instrumental': 0.000308111455524, 'voice': 0.999691903591}",0.6949852705,105.023651123
"[""I'll Always Be Your Fool""]",['Jim Capaldi'],['Fierce Heart'],"{'danceable': 0.642340600491, 'not_danceable': 0.357659429312}","{'cla': 0.0144666051492, 'dan': 0.0276880189776, 'hip': 0.0168713759631, 'jaz': 0.0424041934311, 'pop': 0.371541887522, 'rhy': 0.257926672697, 'roc': 0.257650315762, 'spe': 0.0114509183913}","{'Cluster1': 0.10265225172, 'Cluster2': 0.148030072451, 'Cluster3': 0.360304236412, 'Cluster4': 0.171937912703, 'Cluster5': 0.217075541615}","{'bright': 0.961711883545, 'dark': 0.0382881052792}","{'instrumental': 0.0442039519548, 'voice': 0.955796062946}",0.892551541328,178.205200195
['Winter'],['Happy Rhodes'],['Many Worlds Are Born Tonight'],"{'danceable': 0.0390274748206, 'not_danceable': 0.960972547531}","{'cla': 0.0980288013816, 'dan': 0.0116700492799, 'hip': 0.0273301173002, 'jaz': 0.171409413218, 'pop': 0.0765405967832, 'rhy': 0.570227921009, 'roc': 0.0123871080577, 'spe': 0.0324060246348}","{'Cluster1': 0.0892502292991, 'Cluster2': 0.183741703629, 'Cluster3': 0.523615896702, 'Cluster4': 0.111037284136, 'Cluster5': 0.0923548787832}","{'bright': 0.0164282992482, 'dark': 0.983571708202}","{'instrumental': 0.465626001358, 'voice': 0.534373998642}",0.367223829031,117.635932922
['Letter To The Lord'],['Irma'],['Letter to the Lord'],"{'danceable': 0.319043695927, 'not_danceable': 0.680956304073}","{'cla': 0.0105734085664, 'dan': 0.0359535887837, 'hip': 0.0107915718108, 'jaz': 0.190817162395, 'pop': 0.421294808388, 'rhy': 0.268365114927, 'roc': 0.0414596237242, 'spe': 0.0207447074354}","{'Cluster1': 0.303522408009, 'Cluster2': 0.292966902256, 'Cluster3': 0.132226198912, 'Cluster4': 0.123629100621, 'Cluster5': 0.147655397654}","{'bright': 0.964090585709, 'dark': 0.0359093882143}","{'instrumental': 0.384035974741, 'voice': 0.615963995457}",0.943834602833,94.9890594482
[' Wasted Wishing'],['Rust Belt Lights'],['Religion & My Ex'],"{'danceable': 0.0714958459139, 'not_danceable': 0.928504168987}","{'cla': 0.000154313369421, 'dan': 0.000283698202111, 'hip': 0.000152724838699, 'jaz': 0.000224141593208, 'pop': 0.00104945327621, 'rhy': 0.000351974973455, 'roc': 0.997689187527, 'spe': 9.44939311012e-05}","{'Cluster1': 0.275490164757, 'Cluster2': 0.124115854502, 'Cluster3': 0.114033728838, 'Cluster4': 0.0632538050413, 'Cluster5': 0.423106431961}","{'bright': 0.0154487919062, 'dark': 0.98455119133}","{'instrumental': 0.00114384898916, 'voice': 0.998856127262}",0.962630927563,96.7127227783
['The Past'],['Alex North'],['All Fall Down (FSM)'],"{'danceable': 0.00660624401644, 'not_danceable': 0.993393778801}","{'cla': 0.795528829098, 'dan': 0.00189195014536, 'hip': 0.00188622216228, 'jaz': 0.173596397042, 'pop': 0.00598414102569, 'rhy': 0.00547623308375, 'roc': 0.00158414163161, 'spe': 0.0140520734712}","{'Cluster1': 0.0861462727189, 'Cluster2': 0.217972055078, 'Cluster3': 0.457383394241, 'Cluster4': 0.177776277065, 'Cluster5': 0.0607219971716}","{'bright': 0.0061949044466, 'dark': 0.993805110455}","{'instrumental': 0.997435569763, 'voice': 0.00256440741941}",0.097762465477,144.850067139
"[""Who's that Rave""]",['Scooter'],['The Fifth Chapter'],"{'danceable': 0.999999880791, 'not_danceable': 1.00000008274e-07}","{'cla': 0.000149171086377, 'dan': 0.739473104477, 'hip': 0.0501508265734, 'jaz': 0.000487425539177, 'pop': 0.135964512825, 'rhy': 0.00387486233376, 'roc': 0.0697560980916, 'spe': 0.000143982630107}","{'Cluster1': 0.213089421391, 'Cluster2': 0.114623099566, 'Cluster3': 0.0884029194713, 'Cluster4': 0.074116319418, 'Cluster5': 0.509768247604}","{'bright': 0.698803424835, 'dark': 0.301196604967}","{'instrumental': 0.0224156305194, 'voice': 0.97758436203}",0.951083481312,132.021286011
['Swoon'],['Tanya Donelly'],['Lovesongs for Underdogs'],"{'danceable': 0.0952559560537, 'not_danceable': 0.904744029045}","{'cla': 0.114012084901, 'dan': 0.00670662242919, 'hip': 0.00957167893648, 'jaz': 0.132314771414, 'pop': 0.149166077375, 'rhy': 0.556688189507, 'roc': 0.0150710828602, 'spe': 0.0164694786072}","{'Cluster1': 0.106347419322, 'Cluster2': 0.246043756604, 'Cluster3': 0.286060631275, 'Cluster4': 0.160977631807, 'Cluster5': 0.200570583344}","{'bright': 0.487458497286, 'dark': 0.512541532516}","{'instrumental': 0.0425888635218, 'voice': 0.957411110401}",0.465282768011,152.661270142
['No Cars Go'],['Arcade Fire'],['Black Session'],"{'danceable': 0.90243190527, 'not_danceable': 0.0975680947304}","{'cla': 0.00464466027915, 'dan': 0.103274807334, 'hip': 0.0081886947155, 'jaz': 0.00781103083864, 'pop': 0.158922076225, 'rhy': 0.00930143147707, 'roc': 0.704180061817, 'spe': 0.00367721822113}","{'Cluster1': 0.0780560225248, 'Cluster2': 0.0524238198996, 'Cluster3': 0.329604029655, 'Cluster4': 0.0706583485007, 'Cluster5': 0.469257771969}","{'bright': 0.785456120968, 'dark': 0.214543879032}","{'instrumental': 0.293622642756, 'voice': 0.706377327442}",0.760117471218,136.165023804
['Tom Busby'],['The Smith Street Band'],['Sunshine & Technology'],"{'danceable': 0.107394836843, 'not_danceable': 0.892605185509}","{'cla': 0.0215398911387, 'dan': 0.00594974774867, 'hip': 0.00162797980011, 'jaz': 0.00623747520149, 'pop': 0.00889347866178, 'rhy': 0.00525236548856, 'roc': 0.947893738747, 'spe': 0.00260535301641}","{'Cluster1': 0.0681884363294, 'Cluster2': 0.0534733571112, 'Cluster3': 0.381847977638, 'Cluster4': 0.0952244699001, 'Cluster5': 0.401265740395}","{'bright': 0.887492060661, 'dark': 0.11250795424}","{'instrumental': 0.643246352673, 'voice': 0.356753647327}",0.933613538742,178.205871582
['Shoorah Shoorah'],['Vicky'],"['""Vicky""']","{'danceable': 0.596907615662, 'not_danceable': 0.403092354536}","{'cla': 0.0690486729145, 'dan': 0.0421353392303, 'hip': 0.0588018558919, 'jaz': 0.0555100589991, 'pop': 0.237959384918, 'rhy': 0.418450951576, 'roc': 0.0985418185592, 'spe': 0.0195519234985}","{'Cluster1': 0.0842411220074, 'Cluster2': 0.452174127102, 'Cluster3': 0.108080483973, 'Cluster4': 0.335907518864, 'Cluster5': 0.019596748054}","{'bright': 0.999996483326, 'dark': 3.49746460415e-06}","{'instrumental': 0.201579004526, 'voice': 0.798420965672}",0.879684388638,117.132194519
